dP_dt,t,P
-0.00694940146,18.8923779,10.8559675
-0.00639242725,17.1220245,10.8556786
0.00634563621,40.6677322,10.8490458
0.00656432891,28.0746155,10.8489313
0.00248022308,44.9755936,10.8510599
0.343100935,3.07721543,1.49288499
0.0119380951,16.3076611,10.8461285
0.360431731,9.3442688,10.6577873
0.0122799445,50.5227051,10.8459501
-0.00857389625,15.2454491,10.8568125
-0.0120584667,39.3694725,10.8586235
0.0842157006,10.1232243,10.8081427
0.0102944104,41.8361664,10.8469858
2.84436393,6.94838953,5.95744991
0.173913389,1.22424483,1.03765881
-0.00574194593,19.1284256,10.85534
0.000390108413,36.3716736,10.852149
-0.00830282364,53.1664314,10.8566713
-0.000980158569,44.8339653,10.8528624
-0.0016366099,13.8527708,10.8532038
-0.00633069267,43.1816368,10.8556461
0.00231174519,29.6561317,10.8511477
-0.00954782218,40.9509888,10.8573189
0.00327591458,26.2924576,10.8506451
0.00375843467,11.6693335,10.8503942
-0.00636758655,20.4266853,10.8556652
0.00859321468,35.4392891,10.8478737
-0.00747162476,29.3020611,10.8562393
0.00300744781,16.7797565,10.8507853
-0.00416222354,34.6249237,10.8545179
0.00286769355,28.6411285,10.8508577
0.0053636278,14.5609121,10.8495569
-0.00712662283,49.6375275,10.85606
0.0179301072,31.8041611,10.8429995
2.99555588,7.60932207,7.95886087
1.84410262,6.1458292,4.07203531
0.00216345629,44.9637909,10.8512249
-0.00652343128,49.7909584,10.8557463
-0.00840788987,29.1250248,10.8567257
0.013784199,25.1712341,10.8451643
0.181296423,1.35407078,1.06071651
0.00677352119,22.9995995,10.8488226
0.0206989478,10.8431683,10.8415527
0.0164678451,43.7009392,10.8437634
0.0159205571,31.9929981,10.8440495
0.00158772862,12.3066616,10.8515244
-0.00425511086,53.3552704,10.8545666
-0.00633657025,52.8241653,10.855649
-0.00114697393,37.2804565,10.8529491
0.443794131,9.22624493,10.6106634
0.00351645425,30.3878784,10.8505201
-0.012274107,30.8481693,10.8587351
0.00567335403,45.0936203,10.8493958
-0.00778724253,31.20224,10.8564034
-0.00478866696,37.8587723,10.8548441
0.0117923673,48.6815376,10.8462048
0.00244898535,30.4114819,10.8510761
0.0058256695,49.1418266,10.8493166
0.00327098044,32.2408485,10.8506479
-0.00339431153,25.6197243,10.8541183
0.00180871144,23.7549515,10.8514099
-0.000325270172,48.3274651,10.8525209
0.303356051,2.78215647,1.39650691
-0.0121374186,31.0252056,10.8586645
-0.000208194833,14.8441687,10.8524599
-0.00830492005,29.2194443,10.8566723
0.0146390656,21.5833168,10.844718
0.0166142285,40.4316864,10.8436871
-0.00471128616,36.0294075,10.854804
-0.00394327892,13.5695143,10.8544044
0.00887242518,19.9899979,10.8477278
3.08697128,7.44408894,7.45865154
0.0127549656,21.7013397,10.8457022
0.00453828368,35.557312,10.849988
-0.00451413682,35.9585915,10.854701
0.00708242133,48.5281067,10.8486614
0.017475782,41.9541893,10.8432369
-0.00651470991,20.9105816,10.8557415
-0.000440556498,27.1304264,10.852581
-0.00650209002,34.5069008,10.8557348
2.56163645,7.92798567,8.84952736
-0.00923577882,15.4224844,10.8571568
0.00886529777,18.3022614,10.8477316
0.0180145632,33.4800949,10.8429556
-0.0127657382,32.712944,10.8589907
0.0132386805,21.4652939,10.8454494
0.0132142119,31.6507301,10.8454618
-0.00199543382,46.4272842,10.8533907
-0.00503557734,34.5895195,10.8549728
0.0134666841,48.7759552,10.8453302
-0.00330810505,27.7205448,10.8540735
0.00504851528,45.070015,10.8497219
0.783245504,4.76495314,2.37061644
-0.0123997023,30.859972,10.8588009
-0.00904716458,32.5004997,10.8570585
-0.00805955473,42.8629723,10.8565454
2.31755543,6.52350473,4.85610819
0.0174099002,43.7481499,10.8432713
0.00286706886,11.7283459,10.8508587
0.000664249936,24.5811157,10.852006
0.0141423661,11.0910187,10.8449774
-0.00977894757,47.8435669,10.857439
0.0117648868,44.0078011,10.8462191
-0.00596343167,28.9361877,10.8554554
-0.00645452878,34.3180618,10.85571
0.0153645556,24.9233856,10.8443394
-0.00681564771,47.6075211,10.8558979
0.00330835907,33.1850357,10.8506289
0.00312567595,12.5427084,10.8507233
-0.00404450903,46.0496101,10.8544569
0.000952293689,43.3586731,10.8518562
0.00124143099,12.8967791,10.8517056
0.297839433,9.45049,10.6926165
-0.00850421563,39.157032,10.8567762
-0.00889682863,22.6455288,10.8569803
-0.00500668772,37.4574928,10.8549576
0.00515631353,42.5561104,10.8496656
0.00655699242,42.532505,10.8489351
0.00266945641,21.1702347,10.8509617
-0.00717169046,49.6493301,10.8560839
-0.00874309149,47.7137413,10.8569002
0.0123022823,35.0852165,10.8459387
0.0166166276,23.4362869,10.8436852
-0.00820899196,41.5411072,10.8566227
0.0135805011,43.9605904,10.8452711
-0.00729782786,29.3138618,10.8561487
0.00327521167,36.4778938,10.850646
-0.00521801878,25.7023411,10.8550673
0.83819443,4.88297653,2.46646786
-0.011749493,39.4874992,10.8584623
-0.01466366,41.092617,10.8599768
-0.00388106122,51.1246262,10.854372
0.00870903302,48.5753136,10.8478127
2.40585756,8.010602,9.05570316
0.266916066,9.50950146,10.7096548
-0.00641999207,25.8085613,10.8556929
0.00128925045,52.5763168,10.8516798
1.47021961,5.79175854,3.48759174
0.00238442724,44.2556496,10.8511095
0.00846985541,34.9671936,10.8479376
-0.00891253445,53.0956192,10.8569889
-0.00541892648,49.4958992,10.8551722
0.00903972052,52.045208,10.847641
-0.00192767906,13.8291655,10.8533554
0.00705920206,31.5209045,10.8486738
-0.00572560262,42.7803574,10.8553314
0.257061183,2.35727143,1.27743196
2.96803784,7.0782156,6.3380146
0.0176349618,43.8189621,10.843154
1.72208083,8.34106827,9.74011517
2.35922098,8.03420639,9.11225033
-0.00877080485,48.0088005,10.8569145
0.321585774,2.92378473,1.441311
-0.00439988915,49.4486885,10.8546419
-0.00721479533,49.6847382,10.8561058
-0.0140047222,41.3994789,10.8596344
0.0092859501,21.3354664,10.8475122
-0.0108834058,30.7655525,10.8580132
-0.00843573455,15.5287056,10.856741
-0.00410029199,14.9975996,10.8544855
0.0118436692,16.4965,10.8461781
0.742684543,4.67053413,2.29858756
0.310899019,9.4268856,10.6853876
0.0093206251,26.4694939,10.8474941
0.203871608,1.70814168,1.12879586
0.000425190257,35.6871376,10.8521299
0.0183967166,31.8867779,10.8427553
-0.00140634459,38.0122032,10.8530836
0.0168278906,41.9423866,10.8435755
-0.00786833279,24.0028,10.8564453
0.00305555738,14.1714344,10.8507605
1.60175478,8.40007973,9.8382988
0.887744606,8.8131628,10.3437157
0.00773744425,46.9229851,10.84832
-0.00569713861,47.5603104,10.8553162
3.4069606e-05,52.611721,10.852334
-0.000710353255,28.7473488,10.8527212
0.00127595919,12.2594519,10.8516874
0.000615912606,39.8887787,10.8520308
0.38377279,9.30886173,10.6446791
0.0082097305,36.9381866,10.848074
0.172305867,9.73374653,10.7611103
0.00157675229,38.1184235,10.8515301
0.00963222329,36.8319664,10.847332
0.00146677066,17.7003403,10.8515882
0.00635767588,28.5349064,10.8490391
0.00942431018,44.0668144,10.8474398
1.97102094,6.2520504,4.27459431
0.0010797499,14.0416079,10.8517895
0.0110559771,53.7919579,10.8465891
-0.00407411391,19.2110424,10.8544722
0.00286496198,50.1450272,10.8508596
0.00188595278,45.7191429,10.8513699
0.000177519309,45.789959,10.8522596
-0.00602880074,49.8263664,10.8554888
-0.00283440272,44.4798965,10.8538275
0.0029566728,12.5073013,10.850812
0.00330757187,12.6371279,10.8506289
-0.000612044591,45.825367,10.8526707
0.0106456038,16.2368469,10.8468027
1.74646151,8.32926559,9.71962643
0.00889669731,17.9245853,10.8477154
0.006068049,21.2528515,10.8491898
0.00760156987,26.882576,10.8483906
-0.0113834972,22.3386669,10.8582726
1.49267364,5.81536293,3.5225594
0.000618614664,27.0950184,10.8520298
0.00696694572,50.2630539,10.8487215
0.0262723789,10.7251453,10.8386374
0.00876660552,45.2352486,10.8477831
-0.00650228886,42.8039589,10.8557358
-0.00313899503,22.7989597,10.8539858
