sigma,epsilon,T
-3.23505068,0.0931386277,319.569305
87.3953781,0.340748161,443.374084
25.3680496,0.216403276,381.20163
49.5296516,0.272574514,409.287262
29.9751339,0.228405684,387.20285
63.0514717,0.298859775,422.429901
127.133339,0.399559915,472.779968
209.114578,0.500020027,523.01001
-2.8398304,0.0974594951,321.729736
147.655045,0.426805347,486.402679
233.908966,0.526905358,536.452698
133.768784,0.408561707,477.280853
-2.10595798,0.104420885,325.210449
238.572861,0.531826377,538.913208
-4.6780057,0.0636127219,304.806366
110.066528,0.375435084,460.717529
58.8945885,0.291058213,418.529114
-3.74901319,0.086537309,316.268646
10.55896,0.170194045,358.097015
1.60171962,0.129986003,337.993011
26.1295261,0.218443692,382.221832
12.9337444,0.178715751,362.35788
245.467377,0.53902781,542.513916
155.482727,0.43676734,491.383667
139.817719,0.416603327,481.301666
-4.04598856,0.036967393,291.483704
117.747856,0.386477292,466.238647
17.7805882,0.194558918,370.279449
32.491806,0.234646931,390.323456
-1.98139477,0.1055011,325.750549
176.551254,0.462572515,504.286255
8.37868881,0.161792353,353.896179
30.5965805,0.229966,387.983002
109.327011,0.374354869,460.177429
5.78604984,0.150870174,348.435089
199.165482,0.488857776,517.428894
131.274719,0.405201048,475.600525
-3.07676935,0.0242448486,285.122437
146.073029,0.424764961,485.382477
-4.40718317,0.0744148865,310.207428
53.640995,0.280856162,413.428101
236.520554,0.529665947,537.832947
0.66774857,0.124464892,335.232452
245.814255,0.539387882,542.693909
160.667404,0.443248659,494.624329
-0.774546027,0.00504100835,275.520508
8.83234692,0.163592726,354.796356
11.4095926,0.173314661,359.657318
59.0206985,0.29129827,418.649139
105.338158,0.368473709,457.236847
27.3113956,0.221564308,383.782166
3.02161241,0.137667537,341.833771
66.7953339,0.305701137,425.850555
111.386497,0.377355456,461.677734
139.453384,0.416123211,481.061615
-3.52890301,0.0895379111,317.768951
-2.33284926,0.017043408,281.521698
75.675148,0.321304262,433.65213
7.60992575,0.158671737,352.335876
33.9310112,0.238127619,392.063812
-2.02433252,0.0144028803,280.201447
40.3166199,0.252890587,399.445282
-3.18695664,0.0254450887,285.722534
244.774231,0.538307667,542.153809
-2.5061152,0.0186037216,282.301849
-2.49302506,0.0184836965,282.241852
116.059196,0.384076804,465.038422
12.5551147,0.177395478,361.697754
31.8549252,0.233086616,389.543304
96.459938,0.355031013,450.515503
44.7680016,0.262612522,404.306274
213.456406,0.504820943,525.410461
-4.27334499,0.0775355101,311.767761
-1.53047621,0.109221846,327.610931
138.181442,0.414442897,480.221436
-2.9990344,0.0957791582,320.889587
54.1874199,0.281936377,413.968201
52.4951172,0.278575718,412.287872
84.2143402,0.335587114,440.793549
-3.02020168,0.0236447286,284.822357
103.487724,0.365713149,455.856567
15.1042156,0.186037213,366.018616
92.4519501,0.348789752,447.394867
-2.33342743,0.102380477,324.190247
27.1739635,0.221204236,383.602112
-1.36234653,0.110542111,328.271057
-3.09768105,0.0946989432,320.349457
13.5265875,0.180756152,363.378082
-2.62486887,0.099619925,322.809967
78.7157516,0.326465279,436.232635
201.39418,0.491378278,518.689148
-1.65032232,0.0114022801,278.701141
132.341156,0.406641334,476.320679
-3.9164381,0.0840167999,315.008392
53.3384361,0.280256063,413.128021
174.743988,0.460412085,503.206055
68.3991013,0.30858171,427.290863
43.3734169,0.259611934,402.805969
144.590714,0.422844559,484.422272
163.189438,0.446369261,496.184631
26.4909573,0.219403878,382.701935
-4.54470491,0.0703340694,308.167023
109.244972,0.374234855,460.117432
77.5075455,0.324424893,435.212433
-3.86240554,0.0848569721,315.428497
-4.0530529,0.0370874181,291.543701
127.834259,0.400520116,473.26004
113.379036,0.380236059,463.118011
-3.12131572,0.0247249454,285.362457
-0.756934583,0.00492098415,275.46048
18.2095871,0.195879176,370.939575
155.76886,0.437127411,491.563721
-4.64984798,0.0656531304,305.826569
-3.55650687,0.089177832,317.588928
-2.92764688,0.0226845369,284.342255
225.589127,0.51802361,532.01178
54.6750908,0.282896578,414.448303
11.3433771,0.173074618,359.537292
-3.2192471,0.0258051604,285.902588
194.739487,0.483816773,514.908386
90.7024155,0.346029192,446.014618
209.763458,0.50074017,523.370056
-0.86570853,0.114262849,330.131439
13.2464399,0.179795966,362.89798
213.783554,0.505181015,525.590515
-4.69585705,0.0571314245,301.565704
192.751068,0.481536299,513.768127
-4.00492716,0.0825765133,314.288269
24.3082619,0.213522702,379.761353
56.2727547,0.286017209,416.008606
121.757126,0.392118424,469.059204
-0.70385772,0.00456091203,275.280457
-2.70983624,0.0987797529,322.389893
81.0116196,0.330306053,438.153046
200.543915,0.490418077,518.209045
74.5568237,0.319383889,432.691925
9.60488224,0.166593313,356.296661
129.946854,0.403400689,474.700348
68.331955,0.308461696,427.230835
93.8311005,0.350950181,448.475098
33.3821068,0.236807361,391.403687
1.08510458,0.126985401,336.492706
74.9753647,0.320104033,433.052002
214.329269,0.505781174,525.890564
120.642448,0.390558124,468.279053
56.7682533,0.28697741,416.488708
33.481636,0.237047404,391.523712
47.2096977,0.267773569,406.88678
143.575363,0.421524316,483.762146
-2.34648919,0.102260455,324.130219
-3.77390885,0.0861772373,316.088623
-1.95152688,0.0138027603,279.901367
163.871307,0.447209448,496.604706
70.9032288,0.313022614,429.511292
-4.69773245,0.0574914999,301.745758
83.2625656,0.334026814,440.013397
26.7633266,0.220124021,383.062012
78.5019608,0.326105207,436.052612
85.6137009,0.337867588,441.933777
182.428146,0.46953392,507.766968
161.926346,0.44480896,495.40448
-3.56563616,0.0890578106,317.5289
-2.79626608,0.0213642735,283.682129
229.283722,0.521984398,533.992188
14.0930691,0.182676539,364.338257
30.4048157,0.229485899,387.74295
101.730881,0.363072604,454.536316
22.1156826,0.207401484,376.700745
-4.4164505,0.0741748363,310.087402
1.55960166,0.129745945,337.872986
32.001442,0.233446687,389.723358
10.5912695,0.170314059,358.157043
176.249496,0.462212443,504.106232
205.024673,0.49545908,520.729553
100.144928,0.360672146,453.33606
38.2954521,0.248329669,397.164825
77.3659286,0.324184835,435.092407
65.933403,0.304140836,425.070404
-3.37620783,0.0914582908,318.729156
174.443542,0.460052013,503.026001
31.5141163,0.232246444,389.12323
-3.95819664,0.0355271064,290.76355
43.8733444,0.260692149,403.346069
183.654205,0.470974207,508.487091
76.5185471,0.322744548,434.372284
-1.0619452,0.112822562,329.411285
-0.832513273,0.114502899,330.251465
129.329147,0.402560502,474.280243
28.3276958,0.224204838,385.102417
145.516418,0.424044818,485.0224
120.129456,0.38983798,467.918976
202.245956,0.492338479,519.16925
3.20889783,0.138627723,342.313873
240.747223,0.534106851,540.053406
113.796043,0.380836159,463.418091
59.6529541,0.292498499,419.249237
125.12738,0.396799356,471.399689
4.60593891,0.145469099,345.734558
159.798279,0.442168444,494.084229
50.2936859,0.274134815,410.067413
-4.14076948,0.0801760331,313.088013
41.6152916,0.25577116,400.88559
-2.69771671,0.0204040799,283.202026
60.9260254,0.294898987,420.449493
171.848846,0.456931382,501.465698
37.041153,0.245449096,395.724548
12.2822075,0.176435292,361.217651
14.7764597,0.184956998,365.478485
98.4126892,0.358031601,452.015808
3.16187286,0.13838768,342.193848
4.17780876,0.143428683,344.714355
164.359085,0.447809547,496.904785
241.550385,0.534946978,540.473511
96.6933823,0.355391085,450.695526
81.4452286,0.331026196,438.513092
221.919754,0.514062822,530.031433
182.632248,0.469773948,507.886963
-4.60133982,0.0505301058,298.265045
81.0838242,0.330426097,438.213043
174.643814,0.460292071,503.146027
4.07848644,0.142948583,344.474304
-4.53073835,0.0708141625,308.407074
-3.36635876,0.0915783122,318.789154
0.86459583,0.125665128,335.832581
-3.54734159,0.0892978609,317.648926
-3.39579844,0.0912182406,318.609131
-0.542443633,0.00348069612,274.740356
80.7230988,0.329825968,437.912994
57.1410828,0.287697554,416.848755
65.4712524,0.303300649,424.65033
-4.57086515,0.0693738759,307.686951
240.059692,0.533386648,539.693359
229.171387,0.521864355,533.93219
-3.08796477,0.0243648738,285.182434
0.687278211,0.124584921,335.29245
199.059601,0.488737762,517.368896
71.312912,0.313742757,429.871368
147.841629,0.427045405,486.522705
85.7615738,0.338107616,442.053802
167.102005,0.451170236,498.585114
150.276489,0.430166036,488.083008
-2.06753731,0.0147629529,280.38147
183.245132,0.470494092,508.24704
-3.62853122,0.0882176459,317.108826
222.695999,0.514903009,530.451477
3.54186463,0.140308067,343.154022
25.9944973,0.21808362,382.041809
111.055878,0.376875371,461.437683
-1.78784263,0.0124824969,279.241241
99.1984634,0.359231859,452.615936
40.5857658,0.253490686,399.745361
101.174583,0.362232447,454.116211
198.319199,0.487897575,516.948792
153.960403,0.434846967,490.423492
72.2727509,0.315423071,430.711548
22.5817299,0.208721742,377.36087
242.469666,0.535907209,540.953613
1.49668157,0.129385874,337.692932
15.6562414,0.187837571,366.918793
120.471344,0.390318066,468.159027
127.045845,0.399439901,472.71994
47.6699486,0.26873374,407.366882
210.30484,0.50134027,523.670105
87.6191864,0.341108233,443.554108
-4.48962116,0.0465693139,296.284668
95.3737183,0.353350669,449.675323
20.9878006,0.204160839,375.080414
215.094254,0.506621301,526.310669
103.728294,0.366073221,456.036621
-4.58006477,0.0690138042,307.506897
-4.41587687,0.0445289053,295.264465
175.847488,0.461732358,503.86618
66.8618393,0.305821151,425.910583
54.6140289,0.282776564,414.388275
18.0141125,0.195279062,370.639526
173.943283,0.459451884,502.725952
20.6991177,0.203320667,374.660339
200.862579,0.490778148,518.389099
125.649361,0.397519499,471.759766
-4.68716049,0.0559311844,300.965607
-4.05412865,0.0817363486,313.868164
83.8477249,0.334986985,440.4935
245.929932,0.539507926,542.753967
83.554924,0.334506899,440.253448
12.2143049,0.176195234,361.097626
50.4116669,0.274374872,410.187439
-0.527476549,0.116663329,331.331665
-2.68522024,0.0202840567,283.142029
190.147842,0.478535712,512.267883
-0.451352566,0.00288057607,274.440277
112.21489,0.378555715,462.277863
6.9769001,0.156031206,351.015594
204.061005,0.494378865,520.189453
192.02066,0.480696142,513.348083
225.254501,0.517663538,531.831787
159.412643,0.441688329,493.844177
39.4603539,0.250970185,398.485107
118.171646,0.387077421,466.538696
151.594559,0.43184638,488.923187
231.196808,0.524024785,535.01239
189.940231,0.478295654,512.147827
-1.60376191,0.0110422084,278.521118
104.210136,0.366793364,456.396667
30.5485935,0.229845971,387.922974
69.8834229,0.311222255,428.611115
34.0312042,0.238367677,392.183838
65.3394623,0.303060621,424.530304
-4.31181622,0.0766953379,311.347656
55.2259254,0.283976793,414.988403
37.1450195,0.245689139,395.844574
-0.134060949,0.000840168039,273.420074
235.383591,0.528465688,537.232849
-2.38687611,0.0175235048,281.761749
115.470627,0.383236647,464.618317
22.369421,0.208121628,377.060822
-2.15287185,0.0154830962,280.741547
-1.15179133,0.00768153649,276.840759
-2.98578906,0.0232846569,284.642334
48.7123528,0.27089417,408.447083
16.2905674,0.189877972,367.938995
94.0618057,0.351310253,448.655121
12.8991613,0.178595722,362.297852
219.487549,0.511422276,528.711121
-2.78408551,0.0212442484,283.622131
175.345535,0.461132228,503.566101
86.2058487,0.338827759,442.413879
54.7361794,0.283016592,414.508301
26.899929,0.220484093,383.242035
-1.42397618,0.110062011,328.031006
153.770569,0.43460691,490.303467
-1.0295887,0.113062613,329.531311
138.272125,0.414562911,480.281464
26.6724129,0.219883978,382.941986
32.6395073,0.235007003,390.50351
200.756332,0.490658134,518.329041
5.97571182,0.151710346,348.855164
218.275681,0.510102034,528.051025
94.5239487,0.352030396,449.015198
124.866737,0.396439284,471.219635
-4.60678101,0.0507701524,298.385071
238.458649,0.531706333,538.853149
186.322571,0.474094808,510.047424
167.987732,0.452250451,499.125214
10.9815235,0.171754345,358.877167
65.9995346,0.30426085,425.130432
6.38763189,0.153510705,349.755341
15.5083303,0.18735747,366.678741
-4.63171244,0.0519703925,298.985199
-3.34487987,0.0272454489,286.622711
162.70314,0.445769161,495.884583
-4.69672823,0.0613322668,303.666138
-2.40028358,0.0176435281,281.821777
96.226738,0.354670942,450.33548
81.5899887,0.331266254,438.633118
17.0104294,0.192158431,369.079224
111.966095,0.378195643,462.097809
235.724442,0.52882576,537.412903
145.609116,0.424164832,485.082428
-4.35358477,0.0757351443,310.867584
-4.66771412,0.064452894,305.22644
-4.67525148,0.0638527721,304.926392
220.70224,0.512742519,529.371277
-4.0600791,0.0372074433,291.603729
27.4950714,0.222044408,384.022217
-1.75756252,0.0122424485,279.121216
-3.93154955,0.0837767571,314.888367
-2.89228892,0.0223244652,284.162231
4.78505278,0.146309257,346.154633
-4.60023594,0.068173632,307.086823
22.4118214,0.208241642,377.120819
137.366379,0.413362682,479.681335
-4.26202345,0.0777755529,311.887787
44.2079544,0.261412293,403.706146
74.8357391,0.319863975,432.931976
211.715164,0.5029006,524.450317
13.0376854,0.179075822,362.537903
16.0656338,0.189157829,367.578918
-4.19871521,0.0397279449,292.863983
243.736038,0.537227452,541.613708
70.0868835,0.311582327,428.791168
161.441635,0.444208831,495.104431
224.14061,0.51646328,531.231628
-4.21103239,0.0399679951,292.984009
-2.76945925,0.0981796384,322.089813
105.742279,0.369073808,457.536896
62.8569717,0.298499703,422.249847
63.766819,0.300180048,423.090027
0.190727949,0.12146429,333.732147
1.04470253,0.126745343,336.372681
-3.49399352,0.0290458091,287.522919
24.8800964,0.215083018,380.541504
85.9835892,0.338467687,442.233856
82.9706421,0.333546698,439.773346
145.053253,0.423444688,484.722351
6.49874306,0.153990805,349.995392
-4.22718191,0.0784956962,312.247864
147.28215,0.426325262,486.162628
-4.08779716,0.0376875363,291.843781
199.695175,0.489457905,517.728943
72.9616928,0.31662333,431.311676
220.812805,0.512862563,529.431274
158.162064,0.440128028,493.064026
66.2643509,0.304740936,425.370483
213.020538,0.504340887,525.17041
-2.29191232,0.0166833363,281.341675
89.2679367,0.343748748,444.87439
-4.25293159,0.0408081599,293.404083
121.327888,0.391518295,468.759155
-3.8466413,0.0850970224,315.548523
14.4153347,0.183756754,364.878387
243.275223,0.536747336,541.373657
-2.03877401,0.0145229045,280.261444
58.9576302,0.291178226,418.589111
86.2799911,0.338947803,442.473907
99.9869156,0.360432088,453.216034
199.801178,0.489577919,517.78894
239.716232,0.533026576,539.513306
5.62478542,0.150150031,348.075012
72.8926773,0.316503286,431.251648
18.5239944,0.196839362,371.419678
-3.68103361,0.0874975026,316.748749
-2.90891767,0.0967393443,321.369659
206.312546,0.496899366,521.449707
220.039337,0.512022376,529.01123
98.8052444,0.35863173,452.315857
130.565811,0.404240847,475.120422
-4.62938976,0.0518503711,298.925171
10.1419125,0.168633729,357.316864
246.392838,0.539987981,542.994019
174.143311,0.459691942,502.845978
143.022812,0.420804173,483.402069
-4.63512897,0.0664932951,306.246643
29.7849579,0.227925584,386.962799
12.0113745,0.175475091,360.737549
-1.4698298,0.109701939,327.850983
19.7614384,0.200560108,373.28006
86.9484863,0.340028018,443.014008
32.0992737,0.23368673,389.843384
241.780075,0.535187066,540.593506
200.650116,0.49053812,518.269043
63.5062981,0.299699932,422.849976
-2.31924343,0.0169233847,281.4617
176.651901,0.462692529,504.346283
7.78535032,0.15939188,352.695953
27.9101391,0.223124623,384.562317
10.5266838,0.170074016,358.037018
61.438446,0.295859158,420.929596
39.1412201,0.250250041,398.125031
-4.68013525,0.0552110411,300.60553
81.1560516,0.330546111,438.273041
24.264492,0.213402674,379.701355
161.635452,0.444448888,495.224457
145.423737,0.423924774,484.962402
4.27766991,0.143908784,344.954376
120.984962,0.391038209,468.519104
-1.91095686,0.106101222,326.050598
37.7184258,0.247009397,396.5047
98.8838348,0.358751744,452.375885
37.6138992,0.246769354,396.384674
58.3912964,0.290098011,418.049011
56.0874176,0.285657138,415.828552
42.2710342,0.257211447,401.605713
228.946808,0.521624327,533.812134
196.63121,0.485977203,515.988586
168.974213,0.45345068,499.725342
44.0405159,0.261052221,403.526093
8.58947372,0.162632525,354.316254
-2.30559778,0.0168033615,281.401672
-1.51536739,0.109341867,327.670929
12.1465311,0.175955191,360.9776
70.6306686,0.312542498,429.27124
219.377258,0.511302233,528.651123
170.656845,0.455491096,500.745544
85.835556,0.338227659,442.113831
122.876183,0.393678725,469.839355
57.2655869,0.287937582,416.968781
-4.68306684,0.0631326288,304.566315
89.3431931,0.343868762,444.934387
181.816422,0.468813777,507.406891
41.234745,0.254930973,400.465485
27.2655544,0.221444294,383.722137
184.781143,0.47229445,509.147217
203.740204,0.494018793,520.009399
87.0229034,0.340148032,443.074005
233.456024,0.526425302,536.212646
-2.22288918,0.0160832163,281.041595
-2.32033014,0.102500498,324.250244
-3.49159312,0.0900180042,318.009003
-4.41183519,0.0742948577,310.14743
92.8341675,0.349389881,447.694946
92.5283356,0.348909795,447.454895
7.66826868,0.15891178,352.455902
-4.66929626,0.0643328652,305.166443
191.916412,0.480576128,513.288086
-3.82272315,0.085457094,315.728546
44.3197289,0.261652321,403.826172
-0.561927199,0.116423286,331.211639
8.16951847,0.160952196,353.476105
35.4975739,0.241848364,393.924194
36.0090942,0.243048608,394.524292
195.78949,0.485017002,515.508484
80.8673019,0.330066025,438.03302
18.5634384,0.196959391,371.479706
38.8760948,0.249649927,397.824951
19.6000633,0.200080022,373.040009
