ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang)
AgBrO3,-1.0,1,Ag,Br,O,1,5,-2,1.28,0.31,1.4
AgCdBr3,-1.0,1,Ag,Cd,Br,1,2,-1,1.28,0.95,1.96
PbAgBr3,-1.0,1,Pb,Ag,Br,2,1,-1,1.49,1.15,1.96
AgCaCl3,-1.0,1,Ag,Ca,Cl,1,2,-1,1.28,1.0,1.81
AgClO3,-1.0,1,Ag,Cl,O,1,5,-2,1.28,0.12,1.4
AgMgCl3,-1.0,1,Ag,Mg,Cl,1,2,-1,1.28,0.72,1.81
AgSnCl3,-1.0,1,Ag,Sn,Cl,1,2,-1,1.28,1.15,1.81
AgCoF3,1.0,1,Ag,Co,F,1,2,-1,1.28,0.74,1.33
AgCuF3,1.0,1,Ag,Cu,F,1,2,-1,1.28,0.73,1.33
AgMgF3,1.0,1,Ag,Mg,F,1,2,-1,1.28,0.72,1.33
AgMnF3,1.0,1,Ag,Mn,F,1,2,-1,1.28,0.83,1.33
AgNiF3,1.0,1,Ag,Ni,F,1,2,-1,1.28,0.69,1.33
PbAgF3,-1.0,1,Pb,Ag,F,2,1,-1,1.49,1.15,1.33
AgZnF3,1.0,1,Ag,Zn,F,1,2,-1,1.28,0.74,1.33
AgNO3,-1.0,1,Ag,N,O,1,5,-2,1.28,0.13,1.4
AgNbO3,1.0,1,Ag,Nb,O,1,5,-2,1.28,0.64,1.4
AgPO3,-1.0,1,Ag,P,O,1,5,-2,1.28,0.38,1.4
AgSbO3,-1.0,1,Ag,Sb,O,1,5,-2,1.28,0.6,1.4
AgTaO3,1.0,1,Ag,Ta,O,1,5,-2,1.28,0.64,1.4
AgVO3,-1.0,1,Ag,V,O,1,5,-2,1.28,0.54,1.4
AlBO3,-1.0,1,Al,B,O,3,3,-2,0.54,0.27,1.4
BiAlO3,1.0,1,Bi,Al,O,3,3,-2,1.17,0.54,1.4
CeAlO3,1.0,1,Ce,Al,O,3,3,-2,1.34,0.54,1.4
ErAlO3,1.0,1,Er,Al,O,3,3,-2,1.06,0.54,1.4
EuAlO3,1.0,1,Eu,Al,O,3,3,-2,1.12,0.54,1.4
FeAlO3,-1.0,1,Fe,Al,O,3,3,-2,0.78,0.54,1.4
LaAlO3,1.0,1,La,Al,O,3,3,-2,1.36,0.54,1.4
NdAlO3,1.0,1,Nd,Al,O,3,3,-2,1.27,0.54,1.4
PrAlO3,1.0,1,Pr,Al,O,3,3,-2,1.18,0.54,1.4
SmAlO3,1.0,1,Sm,Al,O,3,3,-2,1.24,0.54,1.4
TbAlO3,1.0,1,Tb,Al,O,3,3,-2,1.1,0.54,1.4
TmAlO3,1.0,1,Tm,Al,O,3,3,-2,1.05,0.54,1.4
YAlO3,1.0,1,Y,Al,O,3,3,-2,1.08,0.54,1.4
YbAlO3,1.0,1,Yb,Al,O,3,3,-2,1.04,0.54,1.4
BaAmO3,1.0,1,Ba,Am,O,2,4,-2,1.61,0.85,1.4
SrAmO3,1.0,1,Sr,Am,O,2,4,-2,1.44,0.85,1.4
AmVO3,1.0,1,Am,V,O,4,2,-2,0.95,0.79,1.4
LiAsO3,-1.0,1,Li,As,O,1,5,-2,0.92,0.46,1.4
NaAsO3,-1.0,1,Na,As,O,1,5,-2,1.39,0.46,1.4
SbAsO3,-1.0,1,Sb,As,O,3,3,-2,0.76,0.58,1.4
CrBO3,-1.0,1,Cr,B,O,3,3,-2,0.62,0.27,1.4
ErBO3,-1.0,1,Er,B,O,3,3,-2,1.06,0.27,1.4
EuBO3,-1.0,1,Eu,B,O,3,3,-2,1.12,0.27,1.4
FeBO3,-1.0,1,Fe,B,O,3,3,-2,0.78,0.27,1.4
GdBO3,-1.0,1,Gd,B,O,3,3,-2,1.11,0.27,1.4
HoBO3,-1.0,1,Ho,B,O,3,3,-2,1.12,0.27,1.4
InBO3,-1.0,1,In,B,O,3,3,-2,0.92,0.27,1.4
LaBO3,-1.0,1,La,B,O,3,3,-2,1.36,0.27,1.4
ScBO3,-1.0,1,Sc,B,O,3,3,-2,0.87,0.27,1.4
TmBO3,-1.0,1,Tm,B,O,3,3,-2,1.05,0.27,1.4
VBO3,-1.0,1,V,B,O,3,3,-2,0.64,0.27,1.4
YBO3,-1.0,1,Y,B,O,3,3,-2,1.08,0.27,1.4
