,Formula,A,B,energy_diff,min_struc_type,Z_A,r_s_A,r_p_A,r_d_A,period_A,EA_A,IP_A,E_HOMO_A,E_LUMO_A,Z_B,r_s_B,r_p_B,r_d_B,period_B,EA_B,IP_B,E_HOMO_B,E_LUMO_B
0,AgBr,Ag,Br,-0.030033343,RS,47,1.320000052,1.879999995,2.970000029,5,-1.666599989,-8.058099747,-4.710000038,-0.479000002,35,0.75,0.879999995,1.870000005,4,-3.739300013,-12.64960003,-8.001000404,0.708000004
1,CsBr,Cs,Br,-0.15586723,RS,55,2.460000038,3.160000086,1.970000029,6,-0.569599986,-4.006199837,-2.220000029,-0.547999978,35,0.75,0.879999995,1.870000005,4,-3.739300013,-12.64960003,-8.001000404,0.708000004
2,CuBr,Cu,Br,0.152442677,ZB,29,1.200000048,1.679999948,2.579999924,4,-1.638499975,-8.388799667,-4.855999947,-0.640999973,35,0.75,0.879999995,1.870000005,4,-3.739300013,-12.64960003,-8.001000404,0.708000004
3,KBr,K,Br,-0.166175992,RS,19,2.130000114,2.440000057,1.789999962,4,-0.621299982,-4.433199883,-2.426000118,-0.697000027,35,0.75,0.879999995,1.870000005,4,-3.739300013,-12.64960003,-8.001000404,0.708000004
4,LiBr,Li,Br,-0.032746182,RS,3,1.649999976,2.0,6.929999828,2,-0.698099971,-5.329100132,-2.874000072,-0.977999985,35,0.75,0.879999995,1.870000005,4,-3.739300013,-12.64960003,-8.001000404,0.708000004
5,NaBr,Na,Br,-0.126428727,RS,11,1.710000038,2.599999905,6.570000172,3,-0.715699971,-5.223100185,-2.819000006,-0.717999995,35,0.75,0.879999995,1.870000005,4,-3.739300013,-12.64960003,-8.001000404,0.708000004
6,RbBr,Rb,Br,-0.163820574,RS,37,2.24000001,3.200000048,1.960000038,5,-0.590399981,-4.288899899,-2.359999895,-0.704999983,35,0.75,0.879999995,1.870000005,4,-3.739300013,-12.64960003,-8.001000404,0.708000004
7,AgCl,Ag,Cl,-0.042797252,RS,47,1.320000052,1.879999995,2.970000029,5,-1.666599989,-8.058099747,-4.710000038,-0.479000002,17,0.680000007,0.75999999,1.669999957,3,-3.970799923,-13.90180016,-8.699999809,0.574000001
8,CsCl,Cs,Cl,-0.150346176,RS,55,2.460000038,3.160000086,1.970000029,6,-0.569599986,-4.006199837,-2.220000029,-0.547999978,17,0.680000007,0.75999999,1.669999957,3,-3.970799923,-13.90180016,-8.699999809,0.574000001
9,CuCl,Cu,Cl,0.156258666,ZB,29,1.200000048,1.679999948,2.579999924,4,-1.638499975,-8.388799667,-4.855999947,-0.640999973,17,0.680000007,0.75999999,1.669999957,3,-3.970799923,-13.90180016,-8.699999809,0.574000001
10,KCl,K,Cl,-0.164460722,RS,19,2.130000114,2.440000057,1.789999962,4,-0.621299982,-4.433199883,-2.426000118,-0.697000027,17,0.680000007,0.75999999,1.669999957,3,-3.970799923,-13.90180016,-8.699999809,0.574000001
11,LiCl,Li,Cl,-0.038381525,RS,3,1.649999976,2.0,6.929999828,2,-0.698099971,-5.329100132,-2.874000072,-0.977999985,17,0.680000007,0.75999999,1.669999957,3,-3.970799923,-13.90180016,-8.699999809,0.574000001
12,NaCl,Na,Cl,-0.132992114,RS,11,1.710000038,2.599999905,6.570000172,3,-0.715699971,-5.223100185,-2.819000006,-0.717999995,17,0.680000007,0.75999999,1.669999957,3,-3.970799923,-13.90180016,-8.699999809,0.574000001
13,RbCl,Rb,Cl,-0.160503642,RS,37,2.24000001,3.200000048,1.960000038,5,-0.590399981,-4.288899899,-2.359999895,-0.704999983,17,0.680000007,0.75999999,1.669999957,3,-3.970799923,-13.90180016,-8.699999809,0.574000001
14,AgF,Ag,F,-0.153757667,RS,47,1.320000052,1.879999995,2.970000029,5,-1.666599989,-8.058099747,-4.710000038,-0.479000002,9,0.409999996,0.370000005,1.429999948,2,-4.273499966,-19.40430069,-11.29399967,1.251000047
15,CsF,Cs,F,-0.108263358,RS,55,2.460000038,3.160000086,1.970000029,6,-0.569599986,-4.006199837,-2.220000029,-0.547999978,9,0.409999996,0.370000005,1.429999948,2,-4.273499966,-19.40430069,-11.29399967,1.251000047
16,CuF,Cu,F,-0.017022219,RS,29,1.200000048,1.679999948,2.579999924,4,-1.638499975,-8.388799667,-4.855999947,-0.640999973,9,0.409999996,0.370000005,1.429999948,2,-4.273499966,-19.40430069,-11.29399967,1.251000047
17,KF,K,F,-0.146406103,RS,19,2.130000114,2.440000057,1.789999962,4,-0.621299982,-4.433199883,-2.426000118,-0.697000027,9,0.409999996,0.370000005,1.429999948,2,-4.273499966,-19.40430069,-11.29399967,1.251000047
18,LiF,Li,F,-0.059488309,RS,3,1.649999976,2.0,6.929999828,2,-0.698099971,-5.329100132,-2.874000072,-0.977999985,9,0.409999996,0.370000005,1.429999948,2,-4.273499966,-19.40430069,-11.29399967,1.251000047
19,NaF,Na,F,-0.145788132,RS,11,1.710000038,2.599999905,6.570000172,3,-0.715699971,-5.223100185,-2.819000006,-0.717999995,9,0.409999996,0.370000005,1.429999948,2,-4.273499966,-19.40430069,-11.29399967,1.251000047
